"Item","Section","Topic","Status"
1,"Title","Title informativo","PENDING"
2,"Abstract","Abstract estructurado","PENDING"
3,"Background","Contexto y rationale","PENDING"
4,"Objectives","Objetivos específicos","PENDING"
5,"Methods","Study design","READY"
6,"Methods","Setting","READY"
7,"Methods","Participants","READY"
8,"Methods","Variables","READY"
9,"Methods","Data sources","READY"
10,"Methods","Bias","READY"
11,"Methods","Study size","READY"
12,"Methods","Quantitative variables","READY"
13,"Methods","Statistical methods - descriptive","READY"
14,"Methods","Statistical methods - models","READY"
15,"Methods","Statistical methods - missing","READY"
16,"Methods","Statistical methods - sensitivity","READY"
17,"Results","Participant flow","READY"
18,"Results","Descriptive data","READY"
19,"Results","Outcome data","READY"
20,"Results","Main results","READY"
21,"Results","Other analyses","READY"
22,"Discussion","Interpretation/Limitations","PENDING"
23,"Funding","Funding sources","PENDING"
