"Outcome","Age","Education","Gender","L1L2_Dominance","Acculturation","R2_adj","f2_Cohen"
"HVLT Total Recall","-0.22 (0.065†)","0.34 (0.010**)","-0.09 (0.348)","-0.03 (0.779)","-0.02 (0.890)",0.235,0.387
"HVLT Delayed Recall","0 (0.996)","0.37 (0.005**)","0.05 (0.574)","-0.24 (0.036*)","0.05 (0.679)",0.255,0.424
"HVLT Recognition","0.05 (0.679)","0.25 (0.078†)","-0.02 (0.828)","-0.08 (0.525)","0.13 (0.361)",0.074,0.146
"Rey Figure Recall","-0.01 (0.914)","0.55 (<.001***)","-0.15 (0.088†)","0 (0.971)","0.09 (0.419)",0.398,0.764
"Rey Figure Copy","-0.12 (0.300)","0.32 (0.008**)","-0.11 (0.222)","-0.18 (0.083†)","0.12 (0.302)",0.346,0.623
"Phonological Fluency","0.08 (0.405)","0.52 (<.001***)","-0.23 (0.003**)","-0.21 (0.018*)","0.12 (0.205)",0.544,1.329
"Semantic Fluency","-0.12 (0.221)","0.44 (<.001***)","-0.14 (0.092†)","-0.17 (0.058†)","0.11 (0.299)",0.497,1.107
"Brief Test of Attention","-0.09 (0.285)","0.58 (<.001***)","0 (0.966)","-0.21 (0.009**)","0.07 (0.427)",0.626,1.837
"Symbol Digit Modalities","0.05 (0.595)","0.69 (<.001***)","0.07 (0.364)","-0.11 (0.201)","0.06 (0.565)",0.521,1.213
"Trail Making Test A","-0.15 (0.163)","0.52 (<.001***)","-0.1 (0.238)","-0.04 (0.714)","-0.02 (0.855)",0.394,0.752
"Trail Making Test B","0 (0.974)","0.55 (<.001***)","-0.08 (0.407)","-0.03 (0.747)","0.04 (0.709)",0.335,0.597
"Wisconsin Card Sorting","-0.17 (0.112)","0.46 (<.001***)","0 (0.954)","-0.13 (0.178)","0.06 (0.555)",0.432,0.868
"Stroop Color-Word","-0.15 (0.132)","0.41 (<.001***)","-0.12 (0.130)","-0.09 (0.305)","0.2 (0.053†)",0.499,1.119
