"outcome","predictor","beta_std_str","p_str","r2_adj","f2"
"hvlt_total","Age","-0.22","0.065†",0.234919491607698,0.386750280680359
"hvlt_total","Education","0.34","0.010**",0.234919491607698,0.386750280680359
"hvlt_total","Gender(F)","-0.09","0.348",0.234919491607698,0.386750280680359
"hvlt_total","L1L2dom","-0.03","0.779",0.234919491607698,0.386750280680359
"hvlt_total","Acculturation","-0.02","0.890",0.234919491607698,0.386750280680359
"hvlt_tardia","Age","-0.00","0.996",0.254772111068569,0.423692840155797
"hvlt_tardia","Education","0.37","0.005**",0.254772111068569,0.423692840155797
"hvlt_tardia","Gender(F)","0.05","0.574",0.254772111068569,0.423692840155797
"hvlt_tardia","L1L2dom","-0.24","0.036*",0.254772111068569,0.423692840155797
"hvlt_tardia","Acculturation","0.05","0.679",0.254772111068569,0.423692840155797
"hvlt_recon","Age","0.05","0.679",0.0739480700103445,0.145697746958909
"hvlt_recon","Education","0.25","0.078†",0.0739480700103445,0.145697746958909
"hvlt_recon","Gender(F)","-0.02","0.828",0.0739480700103445,0.145697746958909
"hvlt_recon","L1L2dom","-0.08","0.525",0.0739480700103445,0.145697746958909
"hvlt_recon","Acculturation","0.13","0.361",0.0739480700103445,0.145697746958909
"rey_memoria","Age","-0.01","0.914",0.398498556608667,0.763878742791034
"rey_memoria","Education","0.55","<.001***",0.398498556608667,0.763878742791034
"rey_memoria","Gender(F)","-0.15","0.088†",0.398498556608667,0.763878742791034
"rey_memoria","L1L2dom","-0.00","0.971",0.398498556608667,0.763878742791034
"rey_memoria","Acculturation","0.09","0.419",0.398498556608667,0.763878742791034
"rey_copia","Age","-0.12","0.300",0.346211560605542,0.622811823865802
"rey_copia","Education","0.32","0.008**",0.346211560605542,0.622811823865802
"rey_copia","Gender(F)","-0.11","0.222",0.346211560605542,0.622811823865802
"rey_copia","L1L2dom","-0.18","0.083†",0.346211560605542,0.622811823865802
"rey_copia","Acculturation","0.12","0.302",0.346211560605542,0.622811823865802
"flu_fon_total","Age","0.08","0.405",0.544447886762444,1.32898844923771
"flu_fon_total","Education","0.52","<.001***",0.544447886762444,1.32898844923771
"flu_fon_total","Gender(F)","-0.23","0.003**",0.544447886762444,1.32898844923771
"flu_fon_total","L1L2dom","-0.21","0.018*",0.544447886762444,1.32898844923771
"flu_fon_total","Acculturation","0.12","0.205",0.544447886762444,1.32898844923771
"flu_sem_total","Age","-0.12","0.221",0.496541533946483,1.1073746521194
"flu_sem_total","Education","0.44","<.001***",0.496541533946483,1.1073746521194
"flu_sem_total","Gender(F)","-0.14","0.092†",0.496541533946483,1.1073746521194
"flu_sem_total","L1L2dom","-0.17","0.058†",0.496541533946483,1.1073746521194
"flu_sem_total","Acculturation","0.11","0.299",0.496541533946483,1.1073746521194
"bta_total","Age","-0.09","0.285",0.626025998414594,1.83703039585172
"bta_total","Education","0.58","<.001***",0.626025998414594,1.83703039585172
"bta_total","Gender(F)","0.00","0.966",0.626025998414594,1.83703039585172
"bta_total","L1L2dom","-0.21","0.009**",0.626025998414594,1.83703039585172
"bta_total","Acculturation","0.07","0.427",0.626025998414594,1.83703039585172
"sdmt_correct","Age","0.05","0.595",0.520524428577744,1.21278345132152
"sdmt_correct","Education","0.69","<.001***",0.520524428577744,1.21278345132152
"sdmt_correct","Gender(F)","0.07","0.364",0.520524428577744,1.21278345132152
"sdmt_correct","L1L2dom","-0.11","0.201",0.520524428577744,1.21278345132152
"sdmt_correct","Acculturation","0.06","0.565",0.520524428577744,1.21278345132152
"tmt_a_inv","Age","-0.15","0.163",0.394390099060549,0.751912589457771
"tmt_a_inv","Education","0.52","<.001***",0.394390099060549,0.751912589457771
"tmt_a_inv","Gender(F)","-0.10","0.238",0.394390099060549,0.751912589457771
"tmt_a_inv","L1L2dom","-0.04","0.714",0.394390099060549,0.751912589457771
"tmt_a_inv","Acculturation","-0.02","0.855",0.394390099060549,0.751912589457771
"tmt_b_inv","Age","-0.00","0.974",0.335493972069086,0.596638051666257
"tmt_b_inv","Education","0.55","<.001***",0.335493972069086,0.596638051666257
"tmt_b_inv","Gender(F)","-0.08","0.407",0.335493972069086,0.596638051666257
"tmt_b_inv","L1L2dom","-0.03","0.747",0.335493972069086,0.596638051666257
"tmt_b_inv","Acculturation","0.04","0.709",0.335493972069086,0.596638051666257
"wcst_cat","Age","-0.17","0.112",0.43217728331856,0.86849799873598
"wcst_cat","Education","0.46","<.001***",0.43217728331856,0.86849799873598
"wcst_cat","Gender(F)","-0.00","0.954",0.43217728331856,0.86849799873598
"wcst_cat","L1L2dom","-0.13","0.178",0.43217728331856,0.86849799873598
"wcst_cat","Acculturation","0.06","0.555",0.43217728331856,0.86849799873598
"stroop_pc_calc","Age","-0.15","0.132",0.499210225330731,1.11860477873532
"stroop_pc_calc","Education","0.41","<.001***",0.499210225330731,1.11860477873532
"stroop_pc_calc","Gender(F)","-0.12","0.130",0.499210225330731,1.11860477873532
"stroop_pc_calc","L1L2dom","-0.09","0.305",0.499210225330731,1.11860477873532
"stroop_pc_calc","Acculturation","0.20","0.053†",0.499210225330731,1.11860477873532
