"term","estimate","beta_std","conf.low","conf.high","std.error","statistic","p.value","outcome","r2_adj","f2"
"edad",-0.0864839408706387,-0.224147631673187,-0.178509393973019,0.00554151223174129,0.0462597871880517,-1.86952742603572,0.0651188828232258,"hvlt_total",0.234919491607698,0.386750280680359
"educacion",0.375881790973617,0.33778911746299,0.0927496068035202,0.659013975143713,0.1423262167612,2.64098772191975,0.00989566104174432,"hvlt_total",0.234919491607698,0.386750280680359
"generoFemale",-0.869499255564855,-0.0923290410573556,-2.70046590421234,0.961467393082634,0.920398918553791,-0.94469825858888,0.347588271791908,"hvlt_total",0.234919491607698,0.386750280680359
"dom_L1L2",-0.119975869439788,-0.0316351593313405,-0.96706583851933,0.727114099639753,0.425819166086122,-0.281753098486702,0.778842675317114,"hvlt_total",0.234919491607698,0.386750280680359
"acculturation_mean",-0.13179883287746,-0.0173038609545551,-2.01362359408236,1.75002592832744,0.945964513553627,-0.139327459951264,0.889533021601612,"hvlt_total",0.234919491607698,0.386750280680359
"edad",-0.000119274244372825,-0.000610706734276319,-0.046093200347311,0.0458546518585654,0.0231103892023775,-0.00516106601789963,0.995894618805438,"hvlt_tardia",0.254772111068569,0.423692840155797
"educacion",0.207199464390955,0.367849649473817,0.0657527485794263,0.348646180202484,0.0711030997544845,2.91407076634359,0.00459689124039679,"hvlt_tardia",0.254772111068569,0.423692840155797
"generoFemale",0.259294968338951,0.0543939442116876,-0.655416370362266,1.17400630704017,0.459811393916646,0.563915926767913,0.574350439918706,"hvlt_tardia",0.254772111068569,0.423692840155797
"dom_L1L2",-0.453100313201855,-0.236024906597154,-0.876288141439735,-0.0299124849639745,0.212730046034969,-2.12993096954144,0.0361749779449759,"hvlt_tardia",0.254772111068569,0.423692840155797
"acculturation_mean",0.196185136666524,0.0508844289905444,-0.743933815141995,1.13630408847504,0.472583412262402,0.415133353342484,0.679128488331161,"hvlt_tardia",0.254772111068569,0.423692840155797
"edad",0.00669558227840127,0.0548372286033763,-0.0253437607815333,0.0387349253383358,0.0161056875204804,0.41572781477891,0.678695130431393,"hvlt_recon",0.0739480700103445,0.145697746958909
"educacion",0.0885724733283377,0.251525257370905,-0.0100020935346173,0.187147040191293,0.0495519264671433,1.78746780686858,0.0775566688045463,"hvlt_recon",0.0739480700103445,0.145697746958909
"generoFemale",-0.0699218448271742,-0.0234622929011337,-0.707386444127238,0.56754275447289,0.32044370018728,-0.218203212565293,0.827812899753072,"hvlt_recon",0.0739480700103445,0.145697746958909
"dom_L1L2",-0.0945499711129612,-0.0787818154112628,-0.389470617597307,0.200370675371385,0.148252096390663,-0.637764816922454,0.525403717692889,"hvlt_recon",0.0739480700103445,0.145697746958909
"acculturation_mean",0.302782386701194,0.125617609263314,-0.352388841152982,0.95795361455537,0.329344551431336,0.919348400892918,0.360609903306465,"hvlt_recon",0.0739480700103445,0.145697746958909
"edad",-0.00816487966426513,-0.0114763069324679,-0.15862418393862,0.142294424610089,0.0756335900726357,-0.107953088785338,0.914296613300299,"rey_memoria",0.398498556608667,0.763878742791034
"educacion",1.13550642050301,0.553398074467815,0.672592411261258,1.59842042974475,0.232699789373134,4.87970540739175,5.14987275411663e-06,"rey_memoria",0.398498556608667,0.763878742791034
